Title,Company,Location,Date,Link
Python 웹서비스 백엔드 개발,(주)에이아이썸,서울 강남구,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51171417&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
웹 풀스택 개발자 (Python / FastAPI / Javascript)  채용,(주)인터로이드,서울 강남구,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51227282&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
보안회사 파이선(python) 자바 java 서버 개발 엔지니어,(주)비비파트너스,서울 강남구,~ 08/07(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51273744&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
ROS 기반 로봇/UGV 개발자 모집 (Python 외),(주)키네틱스,대전 유성구,~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51003706&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[솔루션] 백엔드 개발자 모집(python),조베이스(주),서울 관악구,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51162894&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
데이터 수집 개발자 모집(Python 기반)(취업축하금),(주)밸류어블,서울 서초구,~ 08/03(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51209345&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
국가연구과제 개발자 모집(Python/Pytorch/API/JAVA/React),(주)케파스,서울 강남구,~ 08/01(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51184917&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[테나아이] 백엔드(Python) 개발자 모집,(주)테나아이,서울 서초구,~ 07/26(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51138908&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
[생성AI 스타트업] Python 백엔드 엔지니어,(주)커넥트브릭,서울 마포구,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51178228&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
경기남부직업능력개발원 OA/전산회계/CAD/인공지능(Python) 강사,경기남부직업능력개발원,경기 화성시,~ 09/07(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51254243&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=6cd00734-68a8-46f9-898b-c58a19a35718
